YearRemodAdd,Kitchen,PID,MS SubClass,MS Zoning,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Heating,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Heating QC,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Fence,Bedroom,Full Bath,Half Bath,Gr Liv Area,Yr Sold,Mo Sold,Sale Type,Sale Condition,SalePrice,Misc Feature,Misc Val,Pool Area,Pool QC,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Bsmt Full Bath,Bsmt Half Bath,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built
1971,1,526352080,20,RL,Gable,CompShg,MetalSd,MetalSd,BrkFace,302,TA,TA,CBlock,GasA,0,SBrkr,1587,0,0,TA,TA,7,Typ,1,Gd,Y,0,44,0,0,0,NA,3,2,0,1587,2007,3,WD ,Normal,167300,NA,0,0,NA,Attchd,1971,Unf,2,525,TA,TA,TA,TA,No,BLQ,838,Unf,0,749,1587,0,0,85,10667,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,6,6,1971
1970,1,526352090,20,RL,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,Gd,CBlock,GasA,0,SBrkr,1277,0,0,TA,TA,5,Typ,1,Po,Y,0,0,0,0,176,GdWo,2,1,0,1277,2007,4,WD ,Normal,167000,NA,0,0,NA,Attchd,1970,Unf,2,526,TA,TA,TA,Gd,Gd,GLQ,778,Unf,0,499,1277,1,0,85,10628,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,7,5,1970
1968,1,526353030,20,RL,Hip,CompShg,BrkFace,BrkFace,None,0,Gd,TA,CBlock,GasA,0,SBrkr,2110,0,0,Ex,Ex,8,Typ,2,TA,Y,0,0,0,0,0,NA,3,2,1,2110,2010,4,WD ,Normal,244000,NA,0,0,NA,Attchd,1968,Fin,2,522,TA,TA,TA,TA,No,ALQ,1065,Unf,0,1045,2110,1,0,93,11160,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,7,5,1968
1970,1,526353050,20,RL,Gable,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,GasA,0,SBrkr,2117,0,0,Ex,TA,7,Typ,2,Gd,Y,0,42,0,0,0,NA,4,2,1,2117,2008,5,WD ,Normal,237500,NA,0,0,NA,Attchd,1970,Fin,2,550,TA,TA,TA,TA,Mn,BLQ,865,Unf,0,340,1205,0,0,0,12925,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,6,7,1970
1969,1,526354020,20,RL,Gable,CompShg,HdBoard,HdBoard,BrkFace,434,TA,Gd,CBlock,GasA,0,SBrkr,1851,0,0,Gd,TA,8,Typ,1,TA,Y,0,146,0,0,0,NA,3,2,0,1851,2006,3,WD ,Normal,192100,NA,0,0,NA,Attchd,1969,Fin,2,506,TA,TA,TA,TA,Mn,Unf,0,Unf,0,1851,1851,0,0,90,11727,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,7,6,1969
1969,1,526354070,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,GasA,0,SBrkr,1092,1020,0,TA,TA,9,Typ,2,Gd,Y,280,0,0,0,0,NA,4,2,1,2112,2008,6,WD ,Normal,206900,NA,0,0,NA,Attchd,1969,Unf,2,576,TA,TA,Fa,TA,Mn,ALQ,500,LwQ,276,176,952,0,0,85,11075,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,2Story,6,5,1969
1995,1,526355080,80,RL,Gable,CompShg,Plywood,Wd Sdng,None,0,Gd,TA,CBlock,GasA,0,SBrkr,2000,704,0,Gd,Ex,9,Typ,3,TA,Y,269,111,0,0,0,MnPrv,4,2,1,2704,2009,7,WD ,Normal,345000,NA,0,0,NA,Attchd,1972,Fin,2,538,TA,TA,Gd,TA,Gd,GLQ,1410,Unf,0,542,1952,1,0,75,13860,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,SLvl,8,7,1972
1973,1,526355170,20,RL,Gable,CompShg,Plywood,Plywood,BrkFace,1115,TA,Gd,CBlock,GasA,0,SBrkr,2223,0,0,Ex,TA,8,Typ,2,Gd,Y,300,0,0,0,0,NA,3,2,0,2223,2007,2,WD ,Normal,244000,NA,0,0,NA,Attchd,1973,Fin,2,516,TA,TA,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,1,0,95,13651,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,7,6,1973
1970,1,526355190,20,RL,Flat,Tar&Grv,Wd Sdng,Wd Sdng,None,0,Gd,Gd,PConc,GasA,0,SBrkr,2217,0,0,Ex,Gd,8,Typ,1,TA,Y,81,207,0,0,224,NA,4,2,0,2217,2007,10,WD ,Normal,268000,NA,0,0,NA,Attchd,1970,Unf,2,621,TA,TA,TA,Gd,Gd,ALQ,351,Rec,823,1043,2217,1,0,95,15865,Pave,NA,IR1,Lvl,AllPub,Inside,Mod,Names,Norm,Normal,1Fam,1Story,8,6,1970
1998,1,527105010,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,0,SBrkr,928,701,0,Gd,TA,6,Typ,1,TA,Y,212,34,0,0,0,MnPrv,3,2,1,1629,2010,3,WD ,Normal,189900,NA,0,0,NA,Attchd,1997,Fin,2,482,TA,TA,Gd,TA,No,GLQ,791,Unf,0,137,928,0,0,74,13830,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,5,5,1997
1998,1,527105030,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,TA,PConc,GasA,0,SBrkr,926,678,0,Ex,Gd,7,Typ,1,Gd,Y,360,36,0,0,0,NA,3,2,1,1604,2010,6,WD ,Normal,195500,NA,0,0,NA,Attchd,1998,Fin,2,470,TA,TA,TA,TA,No,GLQ,602,Unf,0,324,926,0,0,78,9978,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,6,1998
1998,1,527105050,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,0,SBrkr,926,678,0,Ex,TA,7,Typ,1,TA,Y,0,36,0,0,0,NA,3,2,1,1604,2008,4,WD ,Normal,187500,NA,0,0,NA,Attchd,1997,Fin,2,470,TA,TA,TA,TA,No,BLQ,706,Unf,0,220,926,0,0,72,8702,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997
1998,1,527105060,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,0,SBrkr,813,712,0,Ex,TA,6,Typ,1,TA,Y,421,72,0,0,0,NA,3,2,1,1525,2006,5,WD ,Normal,183500,NA,0,0,NA,Attchd,1997,Fin,2,400,TA,TA,TA,TA,No,GLQ,700,Unf,0,113,813,1,0,60,8238,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997
1997,1,527105070,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,0,SBrkr,945,663,0,Ex,TA,7,Typ,1,TA,Y,252,30,0,0,0,NA,3,2,1,1608,2009,7,WD ,Normal,189500,NA,0,0,NA,Attchd,1997,Fin,2,470,TA,TA,Gd,TA,No,ALQ,847,Unf,0,98,945,0,0,88,10179,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997
2003,1,527105130,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,188,Gd,TA,PConc,GasA,0,SBrkr,1008,1275,0,Ex,Gd,9,Typ,1,Gd,Y,120,46,0,0,0,NA,4,2,1,2283,2009,8,WD ,Normal,270000,NA,0,0,NA,BuiltIn,2003,Fin,3,632,TA,TA,Gd,TA,Gd,GLQ,850,Unf,0,158,1008,0,0,0,11792,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,8,5,2003
2003,1,527105140,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,GasA,0,SBrkr,847,886,0,Ex,Gd,7,Typ,1,Gd,Y,100,48,0,0,0,NA,3,2,1,1733,2007,10,WD ,Family,225000,NA,0,0,NA,BuiltIn,2003,Fin,2,433,TA,TA,Gd,TA,Gd,Unf,0,Unf,0,847,847,0,0,0,12394,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,2003
1997,1,527106010,60,RL,Gable,CompShg,HdBoard,HdBoard,BrkFace,285,TA,TA,PConc,GasA,0,SBrkr,993,1243,0,Gd,Gd,8,Typ,1,TA,Y,0,0,0,0,0,NA,4,2,1,2236,2006,11,WD ,Normal,222000,NA,0,0,NA,BuiltIn,1997,Fin,2,642,TA,TA,Gd,TA,No,Unf,0,Unf,0,964,964,0,0,0,13006,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,1997
1996,1,527106050,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,119,TA,TA,PConc,GasA,0,SBrkr,680,790,0,Gd,TA,7,Typ,1,TA,Y,192,49,0,0,0,NA,3,2,1,1470,2008,10,WD ,Normal,165000,NA,0,0,NA,BuiltIn,1995,Fin,2,420,TA,TA,Gd,TA,No,ALQ,476,Unf,0,204,680,0,0,65,8139,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1995
1998,1,527106140,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,0,SBrkr,926,678,0,Ex,TA,7,Typ,0,NA,Y,100,82,0,0,0,NA,3,2,1,1604,2008,5,WD ,Normal,195500,NA,0,0,NA,Attchd,1998,Fin,2,472,TA,TA,Gd,TA,Gd,GLQ,851,Unf,0,75,926,0,0,59,9535,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1998
1998,1,527106150,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,0,SBrkr,943,695,0,Gd,TA,7,Typ,2,TA,Y,100,38,0,0,0,NA,3,2,1,1638,2008,7,WD ,Normal,192000,NA,0,0,NA,Attchd,1998,Fin,2,472,TA,TA,Gd,TA,Gd,GLQ,828,Unf,0,115,943,1,0,59,9042,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1998
1996,1,527107010,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,0,SBrkr,916,720,0,Gd,TA,7,Typ,1,TA,Y,168,84,0,0,0,NA,3,2,1,1636,2008,11,WD ,Normal,173000,NA,0,0,NA,Attchd,1996,Fin,2,386,TA,TA,Gd,TA,No,Rec,138,Unf,0,778,916,0,0,0,15038,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1996
1995,1,527107020,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,0,SBrkr,781,890,0,Gd,TA,7,Typ,1,TA,Y,0,84,0,0,0,NA,3,2,1,1671,2006,2,WD ,Normal,170000,NA,0,0,NA,Attchd,1995,Fin,2,423,TA,TA,Gd,TA,No,Unf,0,Unf,0,781,781,0,0,0,13041,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1995
1996,1,527107030,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,0,SBrkr,691,807,0,Gd,TA,6,Typ,1,TA,Y,315,44,0,0,0,NA,3,2,1,1498,2006,7,WD ,Normal,187500,NA,0,0,NA,Attchd,1995,Fin,2,409,TA,TA,Gd,TA,No,ALQ,592,Unf,0,99,691,0,0,0,13031,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1995
1996,1,527107040,60,RL,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,GasA,0,SBrkr,806,766,0,Gd,TA,7,Typ,1,TA,Y,0,40,0,0,0,NA,3,2,1,1572,2007,5,WD ,Normal,168000,NA,0,0,NA,BuiltIn,1995,Fin,2,373,TA,TA,Gd,TA,No,Unf,0,Unf,0,806,806,0,0,0,10364,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1995
1997,1,527107090,20,RL,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,GasA,0,SBrkr,1384,0,0,Gd,Gd,7,Typ,0,NA,Y,0,39,0,0,0,NA,3,2,0,1384,2008,11,WD ,Normal,177900,NA,0,0,NA,Attchd,1996,Unf,2,404,TA,TA,Gd,TA,No,GLQ,450,Unf,0,898,1348,1,0,53,14137,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,1Story,5,5,1996
1996,1,527107120,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,0,SBrkr,821,955,0,Gd,TA,7,Typ,1,TA,Y,286,116,0,0,0,NA,3,2,1,1776,2006,5,WD ,Normal,202000,NA,0,0,NA,BuiltIn,1996,Fin,2,443,TA,TA,Gd,TA,No,Unf,0,Unf,0,821,821,0,0,54,9783,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1996
1997,1,527107130,80,RL,Gable,CompShg,HdBoard,HdBoard,BrkFace,32,TA,TA,PConc,GasA,0,SBrkr,958,670,0,Gd,TA,7,Typ,1,TA,Y,48,72,0,0,0,NA,3,2,1,1628,2009,6,WD ,Normal,189000,Shed,490,0,NA,BuiltIn,1996,Fin,2,390,TA,TA,Gd,TA,No,GLQ,284,Unf,0,100,384,0,0,60,8400,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,SLvl,7,5,1996
1997,1,527107210,60,RL,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,GasA,0,SBrkr,729,717,0,Ex,TA,6,Typ,1,TA,Y,264,22,0,0,0,NA,3,2,1,1446,2008,8,WD ,Normal,175000,NA,0,0,NA,Attchd,1996,Unf,2,406,TA,TA,Gd,TA,Gd,GLQ,604,Unf,0,125,729,0,1,57,21872,Pave,NA,IR2,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,1996
1997,1,527107240,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,0,SBrkr,802,709,0,Gd,TA,8,Typ,1,TA,Y,95,75,0,0,0,NA,3,2,1,1511,2006,6,WD ,Normal,185000,NA,0,0,NA,Attchd,1997,Fin,2,413,TA,TA,Gd,TA,Av,GLQ,714,Unf,0,88,802,1,0,70,11207,Pave,NA,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997
2006,1,527108010,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,456,Gd,TA,PConc,GasA,0,SBrkr,1392,1070,0,Ex,Gd,9,Typ,1,Gd,Y,239,132,0,168,0,NA,4,2,1,2462,2006,3,New,Partial,320000,NA,0,0,NA,Attchd,2006,RFn,2,576,TA,TA,Gd,TA,Mn,GLQ,57,Unf,0,1335,1392,1,0,134,19378,Pave,NA,IR1,HLS,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,2005
2006,1,527108020,20,RL,Hip,CompShg,VinylSd,VinylSd,BrkFace,27,Gd,TA,PConc,GasA,0,SBrkr,1670,0,0,Ex,Gd,7,Typ,1,Gd,Y,144,60,0,0,0,NA,3,2,0,1670,2006,8,New,Partial,240000,NA,0,0,NA,Attchd,2006,RFn,3,690,TA,TA,Gd,TA,No,Unf,0,Unf,0,1670,1670,0,0,50,14859,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,1Story,7,5,2006
2005,1,527108030,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,216,Gd,TA,PConc,GasA,0,SBrkr,1074,990,0,Ex,Gd,7,Typ,1,Gd,Y,0,119,0,0,0,NA,4,2,1,2064,2006,1,WD ,Normal,250000,NA,0,0,NA,Attchd,2005,Fin,2,527,TA,TA,Gd,TA,No,Unf,0,Unf,0,1074,1074,0,0,50,13128,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,2Story,8,5,2005
2005,1,527108040,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,GasA,0,SBrkr,901,900,0,Ex,Gd,8,Typ,1,Gd,Y,0,116,0,0,0,NA,3,2,1,1801,2006,6,WD ,Normal,239900,NA,0,0,NA,Attchd,2005,Fin,3,800,TA,TA,Gd,TA,No,Unf,0,Unf,0,893,893,0,0,72,10463,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,2Story,8,5,2005
2006,1,527108060,60,RL,Gable,CompShg,VinylSd,VinylSd,BrkFace,248,Gd,TA,PConc,GasA,0,SBrkr,1700,512,0,Ex,Gd,9,Typ,1,Gd,Y,237,38,0,0,115,NA,3,2,1,2212,2006,5,New,Partial,309000,NA,0,0,NA,Attchd,2006,Fin,3,773,TA,TA,Gd,TA,Av,GLQ,60,Unf,0,1640,1700,1,0,42,13751,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,2005
2007,1,527108070,20,RL,Gable,CompShg,VinylSd,VinylSd,Stone,160,Ex,TA,PConc,GasA,0,SBrkr,1746,0,0,Ex,Ex,7,Typ,2,Gd,Y,201,39,0,0,0,NA,3,2,0,1746,2009,10,WD ,Normal,377500,NA,0,0,NA,Attchd,2006,Fin,3,758,TA,TA,Ex,TA,Gd,GLQ,1320,Unf,0,426,1746,1,0,42,14892,Pave,NA,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,1Story,9,5,2006
2006,1,527108090,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,GasA,0,SBrkr,887,1134,0,Ex,Gd,9,Typ,1,Gd,Y,0,100,0,0,0,NA,3,2,1,2021,2006,9,New,Partial,274725,NA,0,0,NA,BuiltIn,2006,RFn,2,422,TA,TA,Ex,Gd,No,Unf,0,Unf,0,868,868,0,0,168,23257,Pave,NA,IR3,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Normal,1Fam,2Story,7,5,2006
1996,1,527110020,80,RL,Gable,CompShg,HdBoard,HdBoard,BrkFace,22,TA,TA,PConc,GasA,0,SBrkr,804,670,0,Gd,TA,7,Typ,1,TA,Y,120,72,0,0,0,NA,3,2,1,1474,2009,5,WD ,Normal,168500,Shed,700,0,NA,BuiltIn,1995,Fin,2,400,TA,TA,Gd,TA,No,Unf,0,Unf,0,384,384,0,0,0,8530,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,SLvl,7,5,1995
1997,1,527110080,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,0,SBrkr,794,676,0,Gd,TA,6,Typ,0,NA,Y,0,75,0,0,0,NA,3,2,0,1470,2007,7,WD ,Normal,177000,NA,0,0,NA,Attchd,1997,Fin,2,388,TA,TA,Gd,TA,Av,GLQ,182,Unf,0,612,794,0,1,0,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,6,1997
1997,1,527110120,60,RL,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,GasA,0,SBrkr,916,684,0,Gd,TA,7,Typ,1,TA,Y,100,38,0,0,0,NA,3,2,1,1600,2007,8,WD ,Normal,169000,NA,0,0,NA,Attchd,1997,Fin,2,460,TA,TA,Gd,TA,Av,Unf,0,Unf,0,916,916,0,0,57,8773,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,Normal,1Fam,2Story,6,5,1997
